"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2015","22,10","22,40","22,45","22,00","3,70K","0,00%"
"29.12.2015","22,10","22,15","23,15","22,05","19,30K","-2,21%"
"28.12.2015","22,60","22,95","23,40","22,00","3,20K","3,91%"
"25.12.2015","21,75","22,65","23,75","21,70","20,90K","-6,65%"
"24.12.2015","23,30","23,15","23,80","22,60","1,10K","-2,51%"
"23.12.2015","23,90","22,10","23,90","22,00","5,60K","3,46%"
"22.12.2015","23,10","23,10","23,10","23,10","0,10K","0,00%"
"21.12.2015","23,10","23,10","23,10","23,10","0,10K","-0,22%"
"18.12.2015","23,15","23,95","23,95","23,05","0,80K","0,22%"
"17.12.2015","23,10","23,10","23,10","23,10","0,20K","0,43%"
"16.12.2015","23,00","21,35","23,00","21,35","3,70K","4,07%"
"15.12.2015","22,10","20,95","22,10","20,95","1,10K","0,00%"
"14.12.2015","22,10","20,75","22,10","20,65","0,70K","1,61%"
"11.12.2015","21,75","21,05","22,15","21,05","2,60K","3,33%"
"10.12.2015","21,05","21,05","21,05","21,05","0,10K","-4,75%"
"09.12.2015","22,10","22,10","22,10","22,10","0,20K","0,23%"
"08.12.2015","22,05","20,95","22,05","20,90","0,80K","0,23%"
"03.12.2015","22,00","21,70","22,00","21,70","0,50K","0,23%"
"02.12.2015","21,95","21,15","22,10","20,90","6,00K","-0,23%"
"01.12.2015","22,00","21,50","22,00","21,45","1,50K","-4,35%"
"25.11.2015","23,00","23,00","23,00","23,00","0,30K","0,22%"
"24.11.2015","22,95","22,95","23,95","21,90","1,60K","6,25%"
"20.11.2015","21,60","21,35","21,60","21,35","1,30K","-1,37%"
"19.11.2015","21,90","22,50","22,50","21,50","0,50K","0,69%"
"17.11.2015","21,75","21,45","21,85","20,75","3,90K","1,40%"
"12.11.2015","21,45","21,45","21,45","21,45","0,10K","0,23%"
"09.11.2015","21,40","20,70","21,40","20,65","1,80K","0,47%"
"06.11.2015","21,30","21,40","21,40","20,85","0,40K","-0,70%"
"30.10.2015","21,45","21,45","21,45","21,45","0,10K","-0,23%"
"28.10.2015","21,50","21,50","21,50","21,50","2,30K","0,70%"
"27.10.2015","21,35","20,70","21,35","20,70","0,20K","0,47%"
"23.10.2015","21,25","21,20","21,25","21,20","2,10K","1,92%"
"22.10.2015","20,85","20,75","21,50","20,05","8,40K","-2,80%"
"21.10.2015","21,45","21,45","21,45","21,45","0,60K","0,00%"
"20.10.2015","21,45","20,65","21,50","20,05","4,90K","0,94%"
"19.10.2015","21,25","20,60","21,25","20,45","1,60K","-0,47%"
"16.10.2015","21,35","21,10","21,35","21,00","1,40K","-0,93%"
"15.10.2015","21,55","21,95","22,00","20,85","3,50K","-3,15%"
"14.10.2015","22,25","21,50","22,25","21,50","6,00K","3,25%"
"13.10.2015","21,55","21,00","21,55","20,50","7,30K","0,47%"
"09.10.2015","21,45","21,60","21,70","20,85","2,80K","-0,46%"
"08.10.2015","21,55","21,50","21,60","21,00","3,60K","1,65%"
"07.10.2015","21,20","20,95","21,20","20,65","7,50K","-0,70%"
"06.10.2015","21,35","20,95","21,35","20,90","1,00K","1,18%"
"05.10.2015","21,10","20,85","21,45","20,85","1,80K","0,24%"
"02.10.2015","21,05","21,10","21,10","21,05","2,30K","-1,64%"
