"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2015","4.460,0","4.430,0","4.460,0","4.430,0","0,01K","3,48%"
"29.12.2015","4.310,0","4.330,0","4.330,0","4.310,0","0,01K","0,23%"
"28.12.2015","4.300,0","4.300,0","4.300,0","4.300,0","0,00K","0,00%"
"25.12.2015","4.300,0","4.390,0","4.390,0","4.300,0","0,00K","-2,27%"
"24.12.2015","4.400,0","4.400,0","4.400,0","4.400,0","0,00K","-0,45%"
"22.12.2015","4.420,0","4.400,0","4.440,0","4.350,0","0,01K","0,45%"
"21.12.2015","4.400,0","4.470,0","4.470,0","4.240,0","0,01K","1,38%"
"18.12.2015","4.340,0","4.440,0","4.500,0","4.250,0","0,03K","-0,23%"
"17.12.2015","4.350,0","4.440,0","4.450,0","4.350,0","0,01K","-2,03%"
"16.12.2015","4.440,0","4.550,0","4.570,0","4.360,0","0,02K","-1,33%"
"15.12.2015","4.500,0","4.300,0","4.500,0","4.300,0","0,03K","4,17%"
"14.12.2015","4.320,0","4.250,0","4.430,0","4.250,0","0,02K","1,65%"
"11.12.2015","4.250,0","4.130,0","4.330,0","4.120,0","0,14K","2,16%"
"10.12.2015","4.160,0","4.540,0","4.670,0","3.990,0","0,59K","-10,54%"
"09.12.2015","4.650,0","4.200,0","5.100,0","4.200,0","0,77K","14,81%"
"08.12.2015","4.050,0","4.030,0","4.080,0","4.020,0","0,11K","-1,22%"
"07.12.2015","4.100,0","4.050,0","4.100,0","4.050,0","0,01K","0,74%"
"04.12.2015","4.070,0","4.070,0","4.070,0","4.070,0","0,00K","-1,21%"
"03.12.2015","4.120,0","4.120,0","4.120,0","4.120,0","0,01K","-2,60%"
"01.12.2015","4.230,0","4.160,0","4.230,0","4.160,0","0,01K","2,67%"
"27.11.2015","4.120,0","4.120,0","4.120,0","4.120,0","0,00K","0,24%"
"25.11.2015","4.110,0","4.070,0","4.110,0","4.010,0","0,02K","0,98%"
"24.11.2015","4.070,0","4.190,0","4.200,0","3.950,0","0,31K","-2,16%"
"23.11.2015","4.160,0","4.160,0","4.160,0","4.160,0","0,00K","-0,95%"
"20.11.2015","4.200,0","4.270,0","4.270,0","4.150,0","0,02K","1,45%"
"19.11.2015","4.140,0","4.170,0","4.170,0","4.140,0","0,01K","0,49%"
"18.11.2015","4.120,0","4.280,0","4.290,0","4.120,0","0,04K","-2,60%"
"17.11.2015","4.230,0","4.120,0","4.230,0","4.110,0","0,01K","2,67%"
"16.11.2015","4.120,0","4.110,0","4.270,0","4.110,0","0,02K","-6,15%"
"13.11.2015","4.390,0","4.380,0","4.390,0","4.380,0","0,01K","3,29%"
"12.11.2015","4.250,0","4.230,0","4.350,0","4.230,0","0,01K","-0,23%"
"11.11.2015","4.260,0","4.460,0","4.460,0","4.210,0","0,03K","-4,70%"
"10.11.2015","4.470,0","4.470,0","4.470,0","4.470,0","0,00K","-4,28%"
"09.11.2015","4.670,0","4.470,0","4.670,0","4.470,0","0,00K","-0,64%"
"06.11.2015","4.700,0","4.700,0","4.700,0","4.700,0","0,01K","0,21%"
"05.11.2015","4.690,0","4.690,0","4.690,0","4.690,0","0,00K","0,21%"
"03.11.2015","4.680,0","4.400,0","4.690,0","4.400,0","0,04K","6,36%"
"02.11.2015","4.400,0","4.490,0","4.500,0","4.350,0","0,02K","-4,14%"
"29.10.2015","4.590,0","4.590,0","4.590,0","4.590,0","0,00K","3,15%"
"28.10.2015","4.450,0","4.460,0","4.460,0","4.450,0","0,03K","-3,26%"
"27.10.2015","4.600,0","4.600,0","4.600,0","4.600,0","0,00K","-0,86%"
"22.10.2015","4.640,0","4.580,0","4.640,0","4.450,0","0,09K","7,91%"
"21.10.2015","4.300,0","4.240,0","4.600,0","4.240,0","0,07K","1,65%"
"20.10.2015","4.230,0","4.300,0","4.300,0","4.230,0","0,00K","1,68%"
"19.10.2015","4.160,0","4.280,0","4.280,0","4.160,0","0,00K","-1,19%"
"16.10.2015","4.210,0","4.230,0","4.230,0","4.160,0","0,02K","-4,32%"
"15.10.2015","4.400,0","4.300,0","4.400,0","4.230,0","0,02K","-3,51%"
"14.10.2015","4.560,0","4.250,0","4.680,0","4.240,0","0,08K","6,79%"
"13.10.2015","4.270,0","4.110,0","4.270,0","4.110,0","0,01K","2,89%"
"12.10.2015","4.150,0","4.200,0","4.200,0","4.150,0","0,03K","1,22%"
"09.10.2015","4.100,0","4.050,0","4.180,0","4.050,0","0,02K","1,74%"
"08.10.2015","4.030,0","4.030,0","4.030,0","4.030,0","0,07K","0,25%"
"06.10.2015","4.020,0","4.040,0","4.040,0","4.020,0","0,00K","-1,71%"
"05.10.2015","4.090,0","4.040,0","4.090,0","4.020,0","0,01K","1,49%"
"02.10.2015","4.030,0","4.040,0","4.040,0","4.030,0","0,02K","-0,98%"
"01.10.2015","4.070,0","4.060,0","4.070,0","4.010,0","0,02K","0,74%"
