"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2015","210,00","211,70","212,50","209,05","1,29M","-0,71%"
"29.12.2015","211,50","210,40","211,50","205,35","3,42M","0,59%"
"28.12.2015","210,25","212,15","212,45","210,20","1,16M","-0,92%"
"25.12.2015","212,20","213,25","213,25","211,00","656,84K","-0,38%"
"24.12.2015","213,00","213,65","214,80","211,60","1,56M","0,59%"
"23.12.2015","211,75","213,15","215,95","210,70","3,63M","-0,52%"
"22.12.2015","212,85","214,95","215,45","212,40","1,36M","-0,09%"
"21.12.2015","213,05","220,35","220,85","212,30","3,61M","-3,81%"
"18.12.2015","221,50","220,15","221,50","216,40","2,41M","0,18%"
"17.12.2015","221,10","221,55","222,00","219,10","2,45M","0,50%"
"16.12.2015","220,00","217,90","221,75","217,00","3,05M","1,38%"
"15.12.2015","217,00","214,10","217,90","214,05","1,98M","1,62%"
"14.12.2015","213,55","215,95","216,75","211,35","4,65M","-1,13%"
"11.12.2015","216,00","218,45","218,95","214,75","2,33M","-0,46%"
"10.12.2015","217,00","218,40","221,60","215,50","3,57M","-0,66%"
"09.12.2015","218,45","216,00","218,50","215,15","2,13M","1,16%"
"08.12.2015","215,95","215,45","218,30","213,25","3,87M","-0,02%"
"07.12.2015","216,00","214,80","216,75","212,00","3,53M","0,56%"
"04.12.2015","214,80","218,30","219,00","214,40","2,63M","-1,26%"
"03.12.2015","217,55","217,00","217,55","215,00","1,39M","0,25%"
"02.12.2015","217,00","216,45","218,80","216,45","1,33M","0,23%"
"01.12.2015","216,50","218,00","219,80","215,50","1,69M","-0,55%"
"30.11.2015","217,70","215,00","218,10","214,00","2,89M","1,71%"
"27.11.2015","214,05","216,50","217,70","214,00","2,59M","-1,59%"
"26.11.2015","217,50","219,00","222,45","216,05","3,46M","-0,68%"
"25.11.2015","219,00","214,00","219,55","214,00","3,05M","2,89%"
"24.11.2015","212,85","221,70","224,00","211,60","7,92M","-3,99%"
"23.11.2015","221,70","220,00","221,90","217,20","3,46M","1,09%"
"20.11.2015","219,30","214,45","219,55","213,15","3,24M","2,43%"
"19.11.2015","214,10","216,00","218,20","212,00","5,94M","-0,37%"
"18.11.2015","214,90","210,55","217,50","210,40","6,83M","2,41%"
"17.11.2015","209,85","200,05","210,55","200,05","7,76M","5,43%"
"16.11.2015","199,05","194,40","201,90","193,65","4,42M","2,39%"
"13.11.2015","194,40","193,35","195,50","192,00","2,02M","-0,31%"
"12.11.2015","195,00","196,00","198,70","193,55","3,46M","0,75%"
"11.11.2015","193,55","195,45","198,20","186,70","11,62M","-0,59%"
"10.11.2015","194,70","200,00","201,30","194,30","4,96M","-2,89%"
"09.11.2015","200,50","203,00","204,00","200,00","2,24M","-1,01%"
"06.11.2015","202,55","202,75","205,20","202,00","3,17M","0,27%"
"05.11.2015","202,00","209,60","211,30","201,00","6,78M","-3,44%"
"03.11.2015","209,20","211,05","212,95","209,20","3,76M","-0,95%"
"02.11.2015","211,20","208,40","211,65","207,95","1,99M","1,39%"
"30.10.2015","208,30","211,20","212,65","206,75","4,31M","-1,37%"
"29.10.2015","211,20","214,25","214,75","211,05","2,34M","-1,31%"
"28.10.2015","214,00","212,05","214,25","211,45","1,32M","0,68%"
"27.10.2015","212,55","212,75","213,70","211,15","1,27M","-0,44%"
"26.10.2015","213,50","212,00","214,90","210,50","2,29M","1,11%"
"23.10.2015","211,15","211,65","213,50","210,80","2,43M","0,07%"
"22.10.2015","211,00","213,25","213,25","210,10","2,90M","-0,82%"
"21.10.2015","212,75","214,15","215,15","211,50","2,41M","-0,70%"
"20.10.2015","214,25","217,45","218,40","213,90","2,12M","-1,54%"
"19.10.2015","217,60","219,20","221,00","217,00","2,26M","-0,64%"
"16.10.2015","219,00","220,10","222,00","217,50","2,21M","-0,30%"
"15.10.2015","219,65","216,00","221,15","215,20","3,28M","1,67%"
"14.10.2015","216,05","214,40","216,55","213,00","1,88M","0,54%"
"13.10.2015","214,90","211,00","214,95","209,60","2,23M","-0,16%"
"12.10.2015","215,25","218,50","219,00","214,35","3,23M","-0,58%"
"09.10.2015","216,50","215,10","218,00","214,10","3,64M","1,19%"
"08.10.2015","213,95","211,90","214,40","210,60","2,74M","1,40%"
"07.10.2015","211,00","215,25","215,50","210,50","6,12M","-1,75%"
"06.10.2015","214,75","215,20","216,15","213,50","2,21M","0,05%"
"05.10.2015","214,65","211,50","216,80","211,15","2,75M","2,36%"
"02.10.2015","209,70","212,05","212,80","207,50","2,74M","-0,78%"
"01.10.2015","211,35","214,15","215,10","211,05","1,70M","-0,63%"
"30.09.2015","212,70","212,60","216,10","211,85","3,41M","0,64%"
"29.09.2015","211,35","210,80","212,65","208,30","2,84M","0,26%"
"28.09.2015","210,80","215,00","216,85","210,65","1,80M","-2,02%"
